,Season,PlayerID,Contract_Type,Value
0,2020-21,203992.0,Guaranteed,18000000.0
1,2021-22,203992.0,Guaranteed,18000000.0
2,2022-23,203992.0,Guaranteed,18000000.0
3,2023-24,203992.0,Player Option,18000000.0
4,2020-21,1629164.0,Guaranteed,1701593.0
5,2021-22,1629164.0,Qualifying Offer,2126991.0
6,2020-21,1628981.0,Guaranteed,1517981.0
7,2021-22,1628981.0,Guaranteed,1782621.0
8,2022-23,1628981.0,Qualifying Offer,2228276.0
9,2020-21,1629629.0,Guaranteed,4458000.0
10,2021-22,1629629.0,Guaranteed,4670160.0
11,2022-23,1629629.0,Team Option,5954454.0
12,2023-24,1629629.0,Qualifying Offer,8109966.0
13,2020-21,203991.0,Guaranteed,16000000.0
14,2021-22,203991.0,Guaranteed,17103448.0
15,2022-23,203991.0,Guaranteed,18206896.0
16,2020-21,201568.0,Guaranteed,19500000.0
17,2021-22,201568.0,Guaranteed,20475000.0
18,2022-23,201568.0,Non-Guaranteed,21450000.0
19,2020-21,1629631.0,Guaranteed,7422000.0
20,2021-22,1629631.0,Guaranteed,7775400.0
21,2022-23,1629631.0,Team Option,9835881.0
22,2023-24,1629631.0,Qualifying Offer,12973527.0
23,2020-21,1628381.0,Guaranteed,4137302.0
24,2021-22,1628381.0,Qualifying Offer,7705447.0
25,2020-21,1628989.0,Guaranteed,2761920.0
26,2021-22,1628989.0,Guaranteed,4253357.0
27,2022-23,1628989.0,Qualifying Offer,6065287.0
28,2020-21,1629017.0,Not With Team,744684.0
29,2020-21,1627739.0,Guaranteed,4767000.0
30,2021-22,1627739.0,Player Option,5005350.0
31,2020-21,101150.0,Guaranteed,8000000.0
32,2020-21,,Guaranteed,5813640.0
33,2021-22,,Guaranteed,6104280.0
34,2022-23,,Team Option,6395160.0
35,2023-24,,Team Option,8109063.0
36,2024-25,,Qualifying Offer,10817490.0
37,2020-21,203524.0,Guaranteed,1620564.0
38,2020-21,203503.0,Guaranteed,12178571.0
39,2020-21,1629027.0,Guaranteed,6571800.0
40,2021-22,1629027.0,Guaranteed,8326471.0
41,2022-23,1629027.0,Qualifying Offer,11040900.0
42,2020-21,,Guaranteed,3458400.0
43,2021-22,,Guaranteed,3631200.0
44,2022-23,,Team Option,3804360.0
45,2023-24,,Team Option,5634257.0
46,2024-25,,Qualifying Offer,7837251.0
47,2020-21,1629035.0,Guaranteed,1517981.0
48,2021-22,1629035.0,Guaranteed,1782621.0
49,2022-23,1629035.0,Team Option,1930681.0
50,2020-21,1627743.0,Not With Team,92857.0
51,2021-22,1627743.0,Not With Team,92857.0
52,2022-23,1627743.0,Not With Team,92857.0
53,2023-24,1627743.0,Not With Team,92857.0
54,2020-21,203095.0,Guaranteed,17450000.0
55,2020-21,1629684.0,Guaranteed,2498760.0
56,2021-22,1629684.0,Guaranteed,2617800.0
57,2022-23,1629684.0,Team Option,4306281.0
