Season,Player_ID,Contract_Type,Value
2020-21,203992,Guaranteed,18000000.0
2021-22,203992,Guaranteed,18000000.0
2022-23,203992,Guaranteed,18000000.0
2023-24,203992,Player Option,18000000.0
2020-21,1629164,Guaranteed,1701593.0
2021-22,1629164,Qualifying Offer,2126991.0
2020-21,1628981,Guaranteed,1517981.0
2021-22,1628981,Guaranteed,1782621.0
2022-23,1628981,Qualifying Offer,2228276.0
2020-21,1629629,Guaranteed,4458000.0
2021-22,1629629,Guaranteed,4670160.0
2022-23,1629629,Team Option,5954454.0
2023-24,1629629,Qualifying Offer,8109966.0
2020-21,203991,Guaranteed,16000000.0
2021-22,203991,Guaranteed,17103448.0
2022-23,203991,Guaranteed,18206896.0
2020-21,201568,Guaranteed,19500000.0
2021-22,201568,Guaranteed,20475000.0
2022-23,201568,Non-Guaranteed,21450000.0
2020-21,1629631,Guaranteed,7422000.0
2021-22,1629631,Guaranteed,7775400.0
2022-23,1629631,Team Option,9835881.0
2023-24,1629631,Qualifying Offer,12973527.0
2020-21,1628381,Guaranteed,4137302.0
2021-22,1628381,Qualifying Offer,7705447.0
2020-21,1628989,Guaranteed,2761920.0
2021-22,1628989,Guaranteed,4253357.0
2022-23,1628989,Qualifying Offer,6065287.0
2020-21,1629017,Not With Team,744684.0
2020-21,1627739,Guaranteed,4767000.0
2021-22,1627739,Player Option,5005350.0
2020-21,101150,Guaranteed,8000000.0
2020-21,203524,Guaranteed,1620564.0
2020-21,203503,Guaranteed,12178571.0
2020-21,1629027,Guaranteed,6571800.0
2021-22,1629027,Guaranteed,8326471.0
2022-23,1629027,Qualifying Offer,11040900.0
2020-21,1629035,Guaranteed,1517981.0
2021-22,1629035,Guaranteed,1782621.0
2022-23,1629035,Team Option,1930681.0
2020-21,203095,Guaranteed,17450000.0
2020-21,1629684,Guaranteed,2498760.0
2021-22,1629684,Guaranteed,2617800.0
2022-23,1629684,Team Option,4306281.0
2023-24,1629684,Qualifying Offer,6235495.0
2020-21,1627824,Not With Team,1039080.0
2021-22,1627824,Not With Team,1039080.0
2020-21,1627759,Guaranteed,23437500.0
2021-22,1627759,Guaranteed,25312500.0
2022-23,1627759,Guaranteed,27187500.0
2023-24,1627759,Guaranteed,29062501.0
2020-21,1628369,Guaranteed,9897120.0
2021-22,1628369,Guaranteed,28103500.0
2022-23,1628369,Guaranteed,30351780.0
2023-24,1628369,Guaranteed,32600060.0
2024-25,1628369,Guaranteed,34848340.0
2020-21,202689,Guaranteed,34379100.0
2021-22,202689,Guaranteed,36016200.0
2022-23,202689,Player Option,37653300.0
2020-21,1628436,Guaranteed,2250000.0
2020-21,203935,Guaranteed,13446428.0
2021-22,203935,Guaranteed,14339285.0
2020-21,1629021,Guaranteed,2161920.0
2020-21,1629641,Guaranteed,3631200.0
2021-22,1629641,Guaranteed,3804360.0
2022-23,1629641,Team Option,5634257.0
2023-24,1629641,Qualifying Offer,7837251.0
2020-21,1628400,Guaranteed,1752950.0
2021-22,1629605,Qualifying Offer,1669178.0
2021-22,1629682,Qualifying Offer,1669178.0
2020-21,202684,Guaranteed,9258000.0
2021-22,202684,Guaranteed,9720900.0
2020-21,1628993,Not With Team,110998.0
2020-21,201933,Guaranteed,776873.0
2021-22,1629185,Qualifying Offer,1729217.0
2020-21,201599,Guaranteed,10375678.0
2021-22,201599,Guaranteed,9881598.0
2022-23,201599,Guaranteed,9821842.0
2020-21,201935,Guaranteed,41254920.0
2021-22,201935,Guaranteed,44310840.0
2022-23,201935,Player Option,47366760.0
2020-21,201145,Guaranteed,1620564.0
2020-21,203925,Guaranteed,16071429.0
2021-22,203925,Guaranteed,17357143.0
2022-23,203925,Guaranteed,18642857.0
2023-24,203925,Guaranteed,19928571.0
2020-21,201142,Guaranteed,40108950.0
2021-22,201142,Guaranteed,42018900.0
2022-23,201142,Player Option,43928850.0
2020-21,202681,Guaranteed,33460350.0
2021-22,202681,Guaranteed,35053700.0
2022-23,202681,Player Option,36647050.0
2020-21,200746,Guaranteed,554988.0
2020-21,1629013,Guaranteed,2090040.0
2021-22,1629013,Guaranteed,3768342.0
2022-23,1629013,Qualifying Offer,5562073.0
2020-21,1629651,Guaranteed,1517981.0
2021-22,1629651,Guaranteed,1782621.0
2022-23,1629651,Qualifying Offer,2228276.0
2020-21,203915,Guaranteed,11454048.0
2021-22,203915,Player Option,12302496.0
2020-21,1629076,Not With Team,99020.0
2020-21,204020,Guaranteed,1620564.0
2020-21,202687,Guaranteed,3500000.0
2020-21,202954,Guaranteed,2250000.0
2021-22,202954,Qualifying Offer,2812500.0
2020-21,1628997,Guaranteed,1517981.0
2021-22,1628997,Non-Guaranteed,1782621.0
2022-23,1628997,Qualifying Offer,2228821.0
2020-21,1628998,Guaranteed,1517981.0
2021-22,1628998,Non-Guaranteed,1782621.0
2022-23,1628998,Qualifying Offer,2228821.0
2020-21,203469,Guaranteed,15415730.0
2020-21,1628984,Guaranteed,1663861.0
2021-22,1628984,Qualifying Offer,4736102.0
2020-21,202330,Guaranteed,28500000.0
2021-22,202330,Guaranteed,29925000.0
2022-23,202330,Guaranteed,30075000.0
2023-24,202330,Guaranteed,31500000.0
2020-21,1629667,Guaranteed,1517981.0
2021-22,1629667,Non-Guaranteed,1782621.0
2022-23,1629667,Team Option,1930681.0
2020-21,1628370,Guaranteed,5345687.0
2021-22,1628370,Qualifying Offer,7318246.0
2020-21,1628970,Guaranteed,3934320.0
2021-22,1628970,Guaranteed,5421493.0
2022-23,1628970,Qualifying Offer,7459974.0
2020-21,201587,Not With Team,9043478.0
2021-22,201587,Not With Team,9043478.0
2022-23,201587,Not With Team,9043478.0
2020-21,1626179,Guaranteed,18900000.0
2021-22,1626179,Guaranteed,17905263.0
2021-22,1629690,Qualifying Offer,1669178.0
2020-21,1629632,Guaranteed,5572680.0
2021-22,1629632,Guaranteed,5837760.0
2022-23,1629632,Team Option,7413955.0
2023-24,1629632,Qualifying Offer,9942114.0
2020-21,1626245,Guaranteed,7529020.0
2020-21,1628464,Guaranteed,5000000.0
2020-21,1627756,Guaranteed,4642800.0
2020-21,202066,Guaranteed,4767000.0
2020-21,1629750,Guaranteed,1517981.0
2021-22,1629750,Qualifying Offer,1897476.0
2020-21,1628374,Guaranteed,6731508.0
2021-22,1628374,Qualifying Offer,9026852.0
2020-21,202696,Guaranteed,26000000.0
2021-22,202696,Guaranteed,24000000.0
2022-23,202696,Guaranteed,22000000.0
2020-21,1627853,Guaranteed,3000000.0
2021-22,1627853,Team Option,3000000.0
2020-21,201152,Guaranteed,13545000.0
2021-22,201152,Non-Guaranteed,14190000.0
2020-21,203107,Guaranteed,10000000.0
2021-22,203107,Non-Guaranteed,10000000.0
2020-21,203897,Guaranteed,19500000.0
2021-22,203897,Guaranteed,19500000.0
2020-21,203083,Not With Team,27957238.0
2020-21,1626224,Guaranteed,8840580.0
2021-22,1626224,Guaranteed,8133334.0
2022-23,1626224,Guaranteed,7426088.0
2023-24,1626224,Non-Guaranteed,6718842.0
2020-21,1629012,Guaranteed,4991880.0
2021-22,1629012,Guaranteed,6349671.0
2022-23,1629012,Qualifying Offer,8559357.0
2020-21,1628422,Guaranteed,2000000.0
2021-22,1628422,Non-Guaranteed,2000000.0
2020-21,1629636,Guaranteed,6720720.0
2021-22,1629636,Guaranteed,7040880.0
2022-23,1629636,Team Option,8920795.0
2023-24,1629636,Qualifying Offer,11828974.0
2020-21,1629731,Guaranteed,1517981.0
2021-22,1629731,Non-Guaranteed,1782621.0
