Team_ID,Full_Name,Abbreviation,Nickname,City,State,Arena
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,State Farm Arena
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,TD Garden
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,Rocket Mortgage FieldHouse
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,Smoothie King Center
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,United Center
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,American Airlines Center
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,Ball Arena
1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,Chase Center
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,Toyota Center
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,STAPLES Center
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,STAPLES Center
1610612748,Miami Heat,MIA,Heat,Miami,Florida,AmericanAirlines Arena
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,Fiserv Forum
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,Target Center
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,Barclays Center
1610612752,New York Knicks,NYK,Knicks,New York,New York,Madison Square Garden
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,Amway Center
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,Bankers Life Fieldhouse
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,Wells Fargo Center
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,Phoenix Suns Arena
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,Moda Center
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,Golden 1 Center
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,AT&T Center
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,Chesapeake Energy Arena
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,Amalie Arena
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,Vivint Arena
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,FedExForum
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,Capital One Arena
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,Little Caesars Arena
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,Spectrum Center
