Column1;slugSeason;nameTeam;namePlayer;statusPlayer;isFinalSeason;isWaived;isOnRoster;isNonGuaranteed;isTeamOption;isPlayerOption;typeContractDetail;value;ID;FIRST_NAME;LAST_NAME;DISPLAY_LAST_COMMA_FIRST;DISPLAY_FI_LAST;PLAYER_SLUG;BIRTHDATE;SCHOOL;COUNTRY;LAST_AFFILIATION;HEIGHT;WEIGHT;SEASON_EXP;JERSEY;POSITION;ROSTERSTATUS;GAMES_PLAYED_CURRENT_SEASON_FLAG;TEAM_ID;TEAM_NAME;TEAM_ABBREVIATION;TEAM_CODE;TEAM_CITY;PLAYERCODE;FROM_YEAR;TO_YEAR;DLEAGUE_FLAG;NBA_FLAG;GAMES_PLAYED_FLAG;DRAFT_YEAR;DRAFT_ROUND;DRAFT_NUMBER;PTS;AST;REB;ALL_STAR_APPEARANCES;PIE
0;2020-21;Atlanta Hawks;Bogdan Bogdanovic;current roster;0;0;1;0;0;0;Guaranteed;18000000;203992;Bogdan;Bogdanovic;Bogdanovic, Bogdan;B. Bogdanovic;bogdan-bogdanovic;18/08/1992 00:00;Fenerbahce;Serbia;Fenerbahce/Serbia;78;220;3;13;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;bogdan_bogdanovic;2017;2020;N;Y;Y;2014;1;27;9.6;2.3;3.3;;0.08
1;2021-22;Atlanta Hawks;Bogdan Bogdanovic;current roster;0;0;1;0;0;0;Guaranteed;18000000;203992;Bogdan;Bogdanovic;Bogdanovic, Bogdan;B. Bogdanovic;bogdan-bogdanovic;18/08/1992 00:00;Fenerbahce;Serbia;Fenerbahce/Serbia;78;220;3;13;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;bogdan_bogdanovic;2017;2020;N;Y;Y;2014;1;27;9.6;2.3;3.3;;0.08
2;2022-23;Atlanta Hawks;Bogdan Bogdanovic;current roster;0;0;1;0;0;0;Guaranteed;18000000;203992;Bogdan;Bogdanovic;Bogdanovic, Bogdan;B. Bogdanovic;bogdan-bogdanovic;18/08/1992 00:00;Fenerbahce;Serbia;Fenerbahce/Serbia;78;220;3;13;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;bogdan_bogdanovic;2017;2020;N;Y;Y;2014;1;27;9.6;2.3;3.3;;0.08
3;2023-24;Atlanta Hawks;Bogdan Bogdanovic;current roster;1;0;1;0;0;1;Player Option;18000000;203992;Bogdan;Bogdanovic;Bogdanovic, Bogdan;B. Bogdanovic;bogdan-bogdanovic;18/08/1992 00:00;Fenerbahce;Serbia;Fenerbahce/Serbia;78;220;3;13;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;bogdan_bogdanovic;2017;2020;N;Y;Y;2014;1;27;9.6;2.3;3.3;;0.08
4;2020-21;Atlanta Hawks;Brandon Goodwin;current roster;0;0;1;0;0;0;Guaranteed;1701593;1629164;Brandon;Goodwin;Goodwin, Brandon;B. Goodwin;brandon-goodwin;2/10/1995 00:00;Florida Gulf Coast;USA;Florida Gulf Coast/USA;72;180;2;0;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;brandon_goodwin;2018;2020;Y;Y;Y;Undrafted;Undrafted;Undrafted;3.9;1.6;1;;0.062
5;2021-22;Atlanta Hawks;Brandon Goodwin;current roster;1;0;1;0;0;0;Qualifying Offer;2126991;1629164;Brandon;Goodwin;Goodwin, Brandon;B. Goodwin;brandon-goodwin;2/10/1995 00:00;Florida Gulf Coast;USA;Florida Gulf Coast/USA;72;180;2;0;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;brandon_goodwin;2018;2020;Y;Y;Y;Undrafted;Undrafted;Undrafted;3.9;1.6;1;;0.062
6;2020-21;Atlanta Hawks;Bruno Fernando;current roster;0;0;1;0;0;0;Guaranteed;1517981;1628981;Bruno;Fernando;Fernando, Bruno;B. Fernando;bruno-fernando;15/08/1998 00:00;Maryland;Angola;Maryland/Angola;81;240;1;24;Forward-Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;bruno_fernando;2019;2020;Y;Y;Y;2019;2;34;1.5;0.4;3;;0.073
7;2021-22;Atlanta Hawks;Bruno Fernando;current roster;0;0;1;0;0;0;Guaranteed;1782621;1628981;Bruno;Fernando;Fernando, Bruno;B. Fernando;bruno-fernando;15/08/1998 00:00;Maryland;Angola;Maryland/Angola;81;240;1;24;Forward-Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;bruno_fernando;2019;2020;Y;Y;Y;2019;2;34;1.5;0.4;3;;0.073
8;2022-23;Atlanta Hawks;Bruno Fernando;current roster;1;0;1;0;0;0;Qualifying Offer;2228276;1628981;Bruno;Fernando;Fernando, Bruno;B. Fernando;bruno-fernando;15/08/1998 00:00;Maryland;Angola;Maryland/Angola;81;240;1;24;Forward-Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;bruno_fernando;2019;2020;Y;Y;Y;2019;2;34;1.5;0.4;3;;0.073
9;2020-21;Atlanta Hawks;Cam Reddish;current roster;0;0;1;0;0;0;Guaranteed;4458000;1629629;Cam;Reddish;Reddish, Cam;C. Reddish;cam-reddish;1/09/1999 00:00;Duke;USA;Duke/USA;80;218;1;22;Forward-Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;cameron_reddish;2019;2020;N;Y;Y;2019;1;10;11.2;1.3;4;;0.053
10;2021-22;Atlanta Hawks;Cam Reddish;current roster;0;0;1;0;0;0;Guaranteed;4670160;1629629;Cam;Reddish;Reddish, Cam;C. Reddish;cam-reddish;1/09/1999 00:00;Duke;USA;Duke/USA;80;218;1;22;Forward-Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;cameron_reddish;2019;2020;N;Y;Y;2019;1;10;11.2;1.3;4;;0.053
11;2022-23;Atlanta Hawks;Cam Reddish;current roster;0;0;1;0;1;0;Team Option;5954454;1629629;Cam;Reddish;Reddish, Cam;C. Reddish;cam-reddish;1/09/1999 00:00;Duke;USA;Duke/USA;80;218;1;22;Forward-Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;cameron_reddish;2019;2020;N;Y;Y;2019;1;10;11.2;1.3;4;;0.053
12;2023-24;Atlanta Hawks;Cam Reddish;current roster;1;0;1;0;0;0;Qualifying Offer;8109966;1629629;Cam;Reddish;Reddish, Cam;C. Reddish;cam-reddish;1/09/1999 00:00;Duke;USA;Duke/USA;80;218;1;22;Forward-Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;cameron_reddish;2019;2020;N;Y;Y;2019;1;10;11.2;1.3;4;;0.053
13;2020-21;Atlanta Hawks;Clint Capela;current roster;0;0;1;0;0;0;Guaranteed;16000000;203991;Clint;Capela;Capela, Clint;C. Capela;clint-capela;18/05/1994 00:00;Elan Chalon;Switzerland;Elan Chalon/Switzerland;82;240;6;15;Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;clint_capela;2014;2020;Y;Y;Y;2014;1;25;14.3;0.9;14.2;;0.161
14;2021-22;Atlanta Hawks;Clint Capela;current roster;0;0;1;0;0;0;Guaranteed;17103448;203991;Clint;Capela;Capela, Clint;C. Capela;clint-capela;18/05/1994 00:00;Elan Chalon;Switzerland;Elan Chalon/Switzerland;82;240;6;15;Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;clint_capela;2014;2020;Y;Y;Y;2014;1;25;14.3;0.9;14.2;;0.161
